Sentence,Intent
Transfer $65 to my niece for the dance lessons.,TRANSFER_MONEY
"I'd like to check my balance, please.",GET_BALANCE
I'd like to inquire about my balance.,GET_BALANCE
Can you transfer $110 to my friend for the coding bootcamp?,TRANSFER_MONEY
How much money is there in my account?,GET_BALANCE
I'd like to transfer $70 to my brother for the painting workshop.,TRANSFER_MONEY
Share my account balance.,GET_BALANCE
I need to move $100 to my daughter for the fitness workshop.,TRANSFER_MONEY
Please send $85 to my niece for the language class.,TRANSFER_MONEY
Can you check my account balance?,GET_BALANCE
I want to send $100 to my grandparents.,TRANSFER_MONEY
Transfer $120 to my friend for the gardening workshop.,TRANSFER_MONEY
Do I have any balances to be settled off?,GET_DUE
Are there any unsettled debts to be addressed off?,GET_DUE
Inform me about my account balance.,GET_BALANCE
Could you please check and tell me my balance?,GET_BALANCE
Do I have any balances to be addressed off?,GET_DUE
Do I have any balances to be settled off?,GET_DUE
Send $75 to my brother for the painting workshop.,TRANSFER_MONEY
What is the balance in my account at the moment?,GET_BALANCE
Is there any overdue rent to be cleared off?,GET_DUE
Are there any pending bills to be addressed off?,GET_DUE
Please send $55 to my nephew for the language course.,TRANSFER_MONEY
Can you provide information on my account balance?,GET_BALANCE
How much money do I have?,GET_BALANCE
Do I have any pending dues to be addressed off?,GET_DUE
I want to send $95 to my brother for the photography class.,TRANSFER_MONEY
Please check my current balance.,GET_BALANCE
Move $80 to my wife's PayPal.,TRANSFER_MONEY
Provide details about my current balance.,GET_BALANCE
Check and inform me about my balance.,GET_BALANCE
Are there any pending bills to be addressed off?,GET_DUE
Is there any unpaid rent to be addressed off?,GET_DUE
Is there any debt I need to address off?,GET_DUE
Provide details about my current balance.,GET_BALANCE
Please send $85 to my niece for the language class.,TRANSFER_MONEY
Are there any unpaid dues?,GET_DUE
I want to check my balance.,GET_BALANCE
Is there any pending fees to be cleared off?,GET_DUE
Is there any pending fees to be settled off?,GET_DUE
Inform me about the balance in my bank account.,GET_BALANCE
Is there any unpaid rent to be settled off?,GET_DUE
Do I have any pending invoices to be addressed off?,GET_DUE
Transfer $65 to my niece for the dance lessons.,TRANSFER_MONEY
Transfer $65 to my niece for the dance lessons.,TRANSFER_MONEY
Are there any pending bills to be addressed off?,GET_DUE
Are there any balances to be cleared off?,GET_DUE
Are there any overdue payments to be cleared?,GET_DUE
Transfer $95 to my son for the painting competition.,TRANSFER_MONEY
Are there any pending bills to be addressed off?,GET_DUE
Do I have any balances to be settled off?,GET_DUE
Move $110 to my daughter for the coding class.,TRANSFER_MONEY
Transfer $95 to my son for the painting competition.,TRANSFER_MONEY
Please send $90 to Chris for the birthday gift.,TRANSFER_MONEY
Are there any unsettled debts?,GET_DUE
Do I have any balances to be settled off?,GET_DUE
How much money do I have in my account?,GET_BALANCE
Is there any money I owe?,GET_DUE
Is there any outstanding rent to be cleared?,GET_DUE
Please send $55 to my nephew for the language course.,TRANSFER_MONEY
Transfer $65 to my niece for the dance lessons.,TRANSFER_MONEY
Can you check my balance for me?,GET_BALANCE
Move $110 to my daughter for the coding class.,TRANSFER_MONEY
Check and let me know my current balance.,GET_BALANCE
Is there any overdue rent to be cleared off?,GET_DUE
Please send $85 to my niece for the language class.,TRANSFER_MONEY
Are there any unsettled debts to be addressed off?,GET_DUE
Inform me about the balance in my account.,GET_BALANCE
How much money is in my account?,GET_BALANCE
Can you provide my current balance?,GET_BALANCE
